PAYLOAD,PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE
0,0,0,611,PSA Airlines Inc.,638
0,0,0,2200,United Air Lines Inc.,614
0,0,0,1708,Alaska Airlines Inc.,634
0,0,0,2078,Alaska Airlines Inc.,612
0,0,0,2078,Alaska Airlines Inc.,612
0,0,0,1708,Alaska Airlines Inc.,634
0,0,0,531,American Airlines Inc.,699
0,0,0,524,American Airlines Inc.,699
0,0,0,1890,American Airlines Inc.,699
0,0,0,1081,Alaska Airlines Inc.,617
0,0,0,1081,Alaska Airlines Inc.,617
0,0,0,911,Alaska Airlines Inc.,617
0,0,0,911,Alaska Airlines Inc.,617
0,0,0,1708,Alaska Airlines Inc.,888
0,0,0,1708,Alaska Airlines Inc.,888
0,0,0,3760,American Airlines Inc.,622
0,0,0,3760,American Airlines Inc.,622
2882000,10065,0,241,JetBlue Airways,678
2882000,7944,0,241,JetBlue Airways,678
0,0,0,994,Delta Air Lines Inc.,819
0,0,0,739,Delta Air Lines Inc.,819
0,0,0,739,Delta Air Lines Inc.,655
0,0,0,446,Delta Air Lines Inc.,655
0,0,0,214,Delta Air Lines Inc.,819
0,0,0,328,Delta Air Lines Inc.,655
0,0,0,348,Delta Air Lines Inc.,655
0,0,0,352,Delta Air Lines Inc.,655
0,0,0,345,Delta Air Lines Inc.,655
0,0,0,440,Delta Air Lines Inc.,655
0,0,0,950,Delta Air Lines Inc.,819
0,0,0,395,Delta Air Lines Inc.,655
0,0,0,347,Delta Air Lines Inc.,655
0,0,0,224,Delta Air Lines Inc.,655
0,0,0,994,Delta Air Lines Inc.,819
0,0,0,950,Delta Air Lines Inc.,819
0,0,0,1081,Delta Air Lines Inc.,655
0,0,0,395,Delta Air Lines Inc.,655
0,0,0,739,Delta Air Lines Inc.,819
0,0,0,1548,Delta Air Lines Inc.,655
0,0,0,193,Delta Air Lines Inc.,655
0,0,0,588,Delta Air Lines Inc.,655
0,0,0,214,Delta Air Lines Inc.,819
0,0,0,214,Delta Air Lines Inc.,655
0,0,0,348,Delta Air Lines Inc.,655
0,0,0,1296,Delta Air Lines Inc.,655
0,0,0,352,Delta Air Lines Inc.,655
0,0,0,345,Delta Air Lines Inc.,655
0,0,0,440,Delta Air Lines Inc.,655
0,0,0,1715,Delta Air Lines Inc.,622
0,0,0,2098,Delta Air Lines Inc.,627
0,0,0,1798,Delta Air Lines Inc.,694
0,0,0,880,Delta Air Lines Inc.,627
0,0,0,880,Delta Air Lines Inc.,687
0,0,0,596,Delta Air Lines Inc.,819
0,0,0,1005,Delta Air Lines Inc.,622
0,0,0,866,Delta Air Lines Inc.,819
0,0,0,1366,Delta Air Lines Inc.,627
0,0,0,1483,Delta Air Lines Inc.,622
0,0,0,726,Delta Air Lines Inc.,622
0,0,0,1557,Delta Air Lines Inc.,622
0,0,0,1420,Delta Air Lines Inc.,622
0,0,0,1389,Delta Air Lines Inc.,627
0,0,0,1695,Delta Air Lines Inc.,622
0,0,0,1627,Delta Air Lines Inc.,627
0,0,0,1627,Delta Air Lines Inc.,694
0,0,0,1754,Delta Air Lines Inc.,627
0,0,0,1701,Delta Air Lines Inc.,627
0,0,0,2355,Delta Air Lines Inc.,627
0,0,0,2012,Delta Air Lines Inc.,622
0,0,0,1715,Delta Air Lines Inc.,622
0,0,0,1660,Delta Air Lines Inc.,627
0,0,0,2098,Delta Air Lines Inc.,627
0,0,0,1798,Delta Air Lines Inc.,694
0,0,0,3777,Delta Air Lines Inc.,687
0,0,0,880,Delta Air Lines Inc.,627
0,0,0,880,Delta Air Lines Inc.,687
0,0,0,1660,Delta Air Lines Inc.,627
0,0,0,1473,Delta Air Lines Inc.,627
0,0,0,1473,Delta Air Lines Inc.,687
0,0,0,1287,Delta Air Lines Inc.,627
0,0,0,2119,Delta Air Lines Inc.,627
0,0,0,1473,Delta Air Lines Inc.,627
0,0,0,1473,Delta Air Lines Inc.,687
0,0,0,1583,Delta Air Lines Inc.,622
0,0,0,1852,Delta Air Lines Inc.,614
0,0,0,1852,Delta Air Lines Inc.,622
0,0,0,596,Delta Air Lines Inc.,819
0,0,0,1005,Delta Air Lines Inc.,622
0,0,0,1583,Delta Air Lines Inc.,622
0,0,0,1307,Delta Air Lines Inc.,622
0,0,0,866,Delta Air Lines Inc.,819
0,0,0,2102,Delta Air Lines Inc.,687
0,0,0,1366,Delta Air Lines Inc.,627
0,0,0,2059,Delta Air Lines Inc.,687
0,0,0,2194,Delta Air Lines Inc.,627
0,0,0,1287,Delta Air Lines Inc.,627
0,0,0,2102,Delta Air Lines Inc.,687
0,0,0,2059,Delta Air Lines Inc.,687
0,0,0,2090,Delta Air Lines Inc.,627
0,0,0,2090,Delta Air Lines Inc.,687
0,0,0,1554,Delta Air Lines Inc.,687
0,0,0,1307,Delta Air Lines Inc.,622
0,0,0,2194,Delta Air Lines Inc.,627
0,0,0,2721,Delta Air Lines Inc.,627
0,0,0,3777,Delta Air Lines Inc.,687
0,0,0,2090,Delta Air Lines Inc.,627
0,0,0,2090,Delta Air Lines Inc.,687
0,0,0,1483,Delta Air Lines Inc.,622
0,0,0,1804,Delta Air Lines Inc.,622
0,0,0,726,Delta Air Lines Inc.,622
0,0,0,1852,Delta Air Lines Inc.,622
0,0,0,1554,Delta Air Lines Inc.,687
0,0,0,1557,Delta Air Lines Inc.,622
0,0,0,1804,Delta Air Lines Inc.,622
0,0,0,1420,Delta Air Lines Inc.,622
0,0,0,1389,Delta Air Lines Inc.,627
0,0,0,1695,Delta Air Lines Inc.,622
0,0,0,1627,Delta Air Lines Inc.,627
0,0,0,1627,Delta Air Lines Inc.,694
0,0,0,2721,Delta Air Lines Inc.,627
0,0,0,1754,Delta Air Lines Inc.,627
0,0,0,1701,Delta Air Lines Inc.,627
0,0,0,1681,Delta Air Lines Inc.,627
0,0,0,2355,Delta Air Lines Inc.,627
0,0,0,2012,Delta Air Lines Inc.,622
0,0,0,3940,Delta Air Lines Inc.,622
0,0,0,7599,Delta Air Lines Inc.,626
0,0,0,8433,Delta Air Lines Inc.,626
0,0,0,3449,Delta Air Lines Inc.,687
0,0,0,3449,Delta Air Lines Inc.,687
0,0,0,3806,Delta Air Lines Inc.,687
0,0,0,3940,Delta Air Lines Inc.,622
0,0,0,7599,Delta Air Lines Inc.,626
0,0,0,3806,Delta Air Lines Inc.,687
0,0,0,3341,Delta Air Lines Inc.,687
0,0,0,8433,Delta Air Lines Inc.,626
0,0,0,3545,Delta Air Lines Inc.,687
0,0,0,3341,Delta Air Lines Inc.,687
0,0,0,6625,Delta Air Lines Inc.,626
0,0,0,3545,Delta Air Lines Inc.,687
0,0,0,6851,Delta Air Lines Inc.,626
0,0,0,6552,Delta Air Lines Inc.,622
0,0,0,6398,Delta Air Lines Inc.,622
0,0,0,6632,Delta Air Lines Inc.,622
0,0,0,7137,Delta Air Lines Inc.,626
0,0,0,1561,Delta Air Lines Inc.,627
0,0,0,1554,Delta Air Lines Inc.,627
0,0,0,1558,Delta Air Lines Inc.,627
0,0,0,6500,Delta Air Lines Inc.,622
0,0,0,1561,Delta Air Lines Inc.,627
0,0,0,5451,Delta Air Lines Inc.,626
0,0,0,6485,Delta Air Lines Inc.,626
0,0,0,7487,Delta Air Lines Inc.,626
0,0,0,1880,Delta Air Lines Inc.,627
0,0,0,5950,Delta Air Lines Inc.,622
0,0,0,6552,Delta Air Lines Inc.,622
0,0,0,1554,Delta Air Lines Inc.,627
0,0,0,6851,Delta Air Lines Inc.,626
0,0,0,6398,Delta Air Lines Inc.,622
0,0,0,1558,Delta Air Lines Inc.,627
0,0,0,5451,Delta Air Lines Inc.,626
0,0,0,5950,Delta Air Lines Inc.,622
0,0,0,4769,Delta Air Lines Inc.,622
0,0,0,1459,Delta Air Lines Inc.,627
0,0,0,6632,Delta Air Lines Inc.,622
0,0,0,7137,Delta Air Lines Inc.,626
0,0,0,6485,Delta Air Lines Inc.,626
0,0,0,6500,Delta Air Lines Inc.,622
0,0,0,4769,Delta Air Lines Inc.,622
0,0,0,1459,Delta Air Lines Inc.,627
0,0,0,7487,Delta Air Lines Inc.,626
0,0,0,1550,Delta Air Lines Inc.,627
0,0,0,994,Delta Air Lines Inc.,819
0,0,0,739,Delta Air Lines Inc.,819
0,0,0,739,Delta Air Lines Inc.,655
0,0,0,446,Delta Air Lines Inc.,655
0,0,0,224,Delta Air Lines Inc.,655
0,0,0,303,Delta Air Lines Inc.,655
0,0,0,68,Delta Air Lines Inc.,655
0,0,0,193,Delta Air Lines Inc.,655
0,0,0,530,Delta Air Lines Inc.,819
0,0,0,214,Delta Air Lines Inc.,819
0,0,0,348,Delta Air Lines Inc.,655
0,0,0,1399,Delta Air Lines Inc.,655
0,0,0,812,Delta Air Lines Inc.,655
0,0,0,420,Delta Air Lines Inc.,655
0,0,0,950,Delta Air Lines Inc.,819
0,0,0,1436,Delta Air Lines Inc.,655
0,0,0,678,Delta Air Lines Inc.,655
0,0,0,1110,Delta Air Lines Inc.,655
0,0,0,1114,Delta Air Lines Inc.,655
0,0,0,251,Delta Air Lines Inc.,655
0,0,0,2097,Delta Air Lines Inc.,655
0,0,0,394,Delta Air Lines Inc.,655
0,0,0,347,Delta Air Lines Inc.,655
0,0,0,204,Delta Air Lines Inc.,655
0,0,0,1425,Delta Air Lines Inc.,655
0,0,0,1086,Delta Air Lines Inc.,655
0,0,0,224,Delta Air Lines Inc.,655
0,0,0,994,Delta Air Lines Inc.,819
0,0,0,303,Delta Air Lines Inc.,655
0,0,0,331,Delta Air Lines Inc.,655
0,0,0,950,Delta Air Lines Inc.,819
0,0,0,1114,Delta Air Lines Inc.,655
0,0,0,1081,Delta Air Lines Inc.,655
0,0,0,739,Delta Air Lines Inc.,819
0,0,0,446,Delta Air Lines Inc.,655
0,0,0,193,Delta Air Lines Inc.,655
0,0,0,214,Delta Air Lines Inc.,819
0,0,0,348,Delta Air Lines Inc.,655
0,0,0,352,Delta Air Lines Inc.,655
0,0,0,345,Delta Air Lines Inc.,655
0,0,0,2176,Delta Air Lines Inc.,655
0,0,0,812,Delta Air Lines Inc.,655
0,0,0,420,Delta Air Lines Inc.,655
0,0,0,1110,Delta Air Lines Inc.,655
0,0,0,347,Delta Air Lines Inc.,655
0,0,0,204,Delta Air Lines Inc.,655
